rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_vet_stat,koi_vet_date,koi_pdisposition,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_disp_prov,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_time0,koi_time0_err1,koi_time0_err2,koi_parm_prov,koi_count,koi_tce_delivname,koi_datalink_dvr,ra,dec,koi_kepmag,koi_gmag,koi_rmag,koi_imag,koi_zmag,koi_jmag,koi_hmag,koi_kmag
2337,6312534,K01689.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,0,1,1,1,q1_q17_dr25_sup_koi,1.507761203,8.78e-07,-8.78e-07,132.942717,0.00049,-0.00049,2454965.943,0.00049,-0.00049,q1_q17_dr25_sup_koi,1,q1_q17_dr25_tce,006/006312/006312534/dv/kplr006312534-20160209194854_dvr.pdf,298.88397,41.662079,15.583,16.378,15.503,15.242,15.049,14.027,13.527,13.429
2338,6470917,K01690.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,0,0,1,0,q1_q17_dr25_sup_koi,1.506019633,8.822e-06,-8.822e-06,133.02809,0.00478,-0.00478,2454966.028,0.00478,-0.00478,q1_q17_dr25_sup_koi,1,q1_q17_dr25_tce,006/006470/006470917/dv/kplr006470917-20160209194854_dvr.pdf,299.10248,41.887459,15.005,15.493,14.989,14.796,14.703,13.806,13.462,13.459
2339,6611330,K01691.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,0,1,1,0,q1_q17_dr25_sup_koi,35.14578122,3.371e-05,-3.371e-05,136.493569,0.000865,-0.000865,2454969.494,0.000865,-0.000865,q1_q17_dr25_sup_koi,1,q1_q17_dr25_tce,006/006611/006611330/dv/kplr006611330-20160209194854_dvr.pdf,293.33807,42.016312,15.838,16.495,15.803,15.556,15.405,14.475,14.004,13.734
2340,6616218,K01692.01,Kepler-314 c,CONFIRMED,Done,2018-08-16,CANDIDATE,0,0,0,0,q1_q17_dr25_sup_koi,5.960400011,4.39e-06,-4.39e-06,137.265171,0.000636,-0.000636,2454970.265,0.000636,-0.000636,q1_q17_dr25_sup_koi,2,q1_q17_dr25_tce,006/006616/006616218/dv/kplr006616218-20160209194854_dvr.pdf,294.6741,42.075581,12.557,13.126,12.459,12.313,12.205,11.242,10.85,10.778
2341,6616218,K01692.02,Kepler-314 b,CONFIRMED,Done,2018-08-16,CANDIDATE,0,0,0,0,q1_q17_dr25_sup_koi,2.46106962,1.28e-05,-1.28e-05,133.32138,0.00431,-0.00431,2454966.321,0.00431,-0.00431,q1_q17_dr25_sup_koi,2,q1_q17_dr25_tce,006/006616/006616218/dv/kplr006616218-20160209194854_dvr.pdf,294.6741,42.075581,12.557,13.126,12.459,12.313,12.205,11.242,10.85,10.778
2342,6696462,K01693.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,0,1,0,0,q1_q17_dr25_sup_koi,3.403743926,2.892e-06,-2.892e-06,137.232574,0.000682,-0.000682,2454970.233,0.000682,-0.000682,q1_q17_dr25_sup_koi,1,q1_q17_dr25_tce,006/006696/006696462/dv/kplr006696462-20160209194854_dvr.pdf,293.25916,42.126629,14.98,15.556,14.912,14.733,14.608,13.673,13.261,13.274
2343,6699368,K01694.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,0,0,1,0,q1_q17_dr25_sup_koi,3.690317047,3.991e-06,-3.991e-06,131.542094,0.000882,-0.000882,2454964.542,0.000882,-0.000882,q1_q17_dr25_sup_koi,1,q1_q17_dr25_tce,006/006699/006699368/dv/kplr006699368-20160209194854_dvr.pdf,294.01492,42.139191,14.336,14.788,14.295,14.143,14.081,13.207,12.901,12.848
2344,6803855,K01695.01,Kepler-930 b,CONFIRMED,Done,2018-08-16,CANDIDATE,0,0,0,0,q1_q17_dr25_sup_koi,71.4523167,0.0006386,-0.0006386,148.80814,0.00646,-0.00646,2454981.808,0.00646,-0.00646,q1_q17_dr25_sup_koi,1,q1_q17_dr25_tce,006/006803/006803855/dv/kplr006803855-20160209194854_dvr.pdf,298.31445,42.24744,13.781,14.252,13.747,13.579,13.516,12.641,12.345,12.258
2345,6891366,K01696.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,0,1,1,1,q1_q17_dr25_sup_koi,1.752564549,7.504e-06,-7.504e-06,132.71889,0.00394,-0.00394,2454965.719,0.00394,-0.00394,q1_q17_dr25_sup_koi,1,q1_q17_dr25_tce,006/006891/006891366/dv/kplr006891366-20160209194854_dvr.pdf,298.77509,42.39323,13.608,14.023,13.551,13.431,13.374,12.489,12.24,12.189
2346,6891637,K01697.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,0,0,1,1,q1_q17_dr25_sup_koi,1.752553762,8.746e-06,-8.746e-06,132.72735,0.00442,-0.00442,2454965.727,0.00442,-0.00442,q1_q17_dr25_sup_koi,1,q1_q17_dr25_tce,006/006891/006891637/dv/kplr006891637-20160209194854_dvr.pdf,298.8222,42.394642,15.828,16.816,15.759,15.404,15.135,14.04,13.481,13.394
